InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Category,CustomerName,CustomerEmail
INV000017,CLO1590,Skirt,24,2025-06-02 08:02:35,58.67,C0089,Austria,Clothing,Samuel Rivas,ramirezshannon@example.com
INV000018,BOO5088,Biography,43,2023-04-04 13:32:54,11.18,C0006,Spain,Books,Monica Herrera,smiller@example.net
INV000019,CLO3662,Jacket,-12,2025-08-05 00:41:15,88.26,C0080,USA,Clothing,Mrs. Marie Harrington DDS,herringjames@example.org
INV000020,CLO3608,Shoes,45,2023-06-04 03:41:44,11.7,C0053,Portugal,Clothing,Matthew Ross,michelle45@example.net
INV000021,BOO4728,Textbook,15,2023-11-19 18:53:40,3.34,C0059,Belgium,Books,Erika Terry,jamesortega@example.com
INV000021,BOO9346,Magazine,26,2023-11-24 19:35:22,68.27,C0099,Netherlands,Books,Beth Oneill,agarcia@example.net
INV000022,CLO5349,Boots,3,2024-02-16 02:43:21,11.73,C0034,Poland,Clothing,Michael Cross,smoore@example.org
INV000023,SPO7311,Tennis Racket,-37,2023-05-07 02:53:17,19.82,C0078,Italy,Sports,David Murphy,wmurphy@example.com
INV000024,CLO8066,Hat,5,2023-09-01 23:30:46,94.94,C0069,Italy,Clothing,Paul Larsen,katie87@example.net
INV000025,BOO6067,Atlas,43,2024-01-08 14:49:19,41.43,C0016,United Kingdom,Books,Tricia Valencia,frazierdanny@example.net
INV000026,HOM5930,Cushion,-26,2023-09-28 00:14:19,55.25,C0054,Japan,Home & Garden,Meghan Anthony,sheila14@example.org
INV000027,SPO8618,Bicycle,29,2025-05-07 11:45:45,44.77,C0075,Portugal,Sports,Stephanie Freeman,ryan06@example.com
INV000027,CLO5649,Jeans,33,2023-04-27 14:37:16,66.72,C0095,France,Clothing,Jesse Parker,davidlee@example.org
INV000027,BOO4262,Biography,10,2023-09-01 03:57:32,3.42,C0031,France,Books,Angela Morton,williamsyvette@example.org
INV000027,HOM4185,Mirror,46,2023-01-05 03:45:29,69.94,C0010,Germany,Home & Garden,Joel Nelson,gabriellecameron@example.org
INV000028,ELE4585,Speaker,12,2024-09-26 14:38:20,80.61,C0001,EIRE,Electronics,Allison Hill,donaldgarcia@example.net
INV000029,HOM8612,Cushion,43,2024-11-30 19:59:43,53.58,C0016,United Kingdom,Home & Garden,Tricia Valencia,frazierdanny@example.net
INV000029,SPO7991,Golf Club,36,2025-07-11 10:53:09,45.15,C0057,Poland,Sports,Renee Mcdaniel,michaeljones@example.net
INV000030,CLO9540,Shoes,32,2024-12-30 23:36:25,63.05,C0097,EIRE,Clothing,Paige Carlson,wallkenneth@example.com
INV000031,BOO9849,Magazine,6,2024-03-28 10:56:00,14.7,C0035,Poland,Books,Lauren Daniels,brian97@example.net
INV000031,HOM6421,Mirror,35,2023-02-20 16:54:07,47.13,C0009,Denmark,Home & Garden,Daniel Adams,lynchgeorge@example.net
INV000032,SPO7232,Football,31,2023-12-26 14:03:34,1.58,C0099,Netherlands,Sports,Beth Oneill,agarcia@example.net
INV000032,SPO4613,Golf Club,32,2024-03-23 13:19:43,22.72,C0054,Japan,Sports,Meghan Anthony,sheila14@example.org
INV000033,HOM8657,Cushion,9,2024-03-15 04:30:17,98.09,C0087,Portugal,Home & Garden,Madison Poole,ryangross@example.net
INV000034,ELE8022,Smartphone,9,2024-12-06 07:30:53,86.82,C0085,Spain,Electronics,Barbara Riggs,reedross@example.com
INV000035,BOO7211,Magazine,18,2023-04-21 13:46:25,75.45,C0059,Belgium,Books,Erika Terry,jamesortega@example.com
INV000036,SPO6733,Football,15,2023-12-29 14:40:12,65.36,C0003,Portugal,Sports,Cristian Santos,lrobinson@example.com
INV000036,CLO3496,T-Shirt,16,2024-02-15 23:18:40,13.5,C0032,Austria,Clothing,Tammy Allison,richardolson@example.com
INV000037,BOO3749,Magazine,39,2025-07-05 04:56:58,61.12,C0090,Poland,Books,Mary Rogers,lrosales@example.com
INV000037,ELE1420,Mouse,20,2023-11-04 07:14:05,58.0,C0040,Austria,Electronics,Kristine Garcia,williamanderson@example.com
INV000037,ELE4978,Mouse,7,2024-10-22 10:19:46,70.02,C0026,Portugal,Electronics,Shannon Jones,joshuawashington@example.net
INV000037,ELE9728,Camera,28,2023-06-28 07:10:14,66.49,C0073,Italy,Electronics,Alicia Gilmore,wwoods@example.com
INV000038,HOM8102,Lamp,24,2025-04-25 22:45:25,63.92,C0054,Japan,Home & Garden,Meghan Anthony,sheila14@example.org
INV000039,SPO9817,Running Shoes,50,2023-12-16 05:30:13,48.87,C0094,USA,Sports,Kara Schmidt,jbarajas@example.com
INV000040,ELE8385,Smart Watch,16,2023-08-20 10:43:38,75.3,C0032,Austria,Electronics,Tammy Allison,richardolson@example.com
INV000041,BOO8988,Cookbook,14,2024-02-17 15:29:46,36.13,C0064,Netherlands,Books,Angel Riggs,gibsonolivia@example.net
INV000042,SPO9464,Football,13,2023-08-09 22:57:11,9.48,C0036,Portugal,Sports,Kim Brown,yorkcasey@example.org
INV000042,HOM8342,Clock,2,2023-04-21 22:21:06,10.21,C0089,Austria,Home & Garden,Samuel Rivas,ramirezshannon@example.com
INV000043,BOO9698,Dictionary,23,2023-04-03 15:28:02,43.12,C0075,Portugal,Books,Stephanie Freeman,ryan06@example.com
INV000043,BOO4777,Textbook,8,2023-09-15 18:02:59,72.41,C0035,Poland,Books,Lauren Daniels,brian97@example.net
INV000043,CLO4545,Jacket,48,2024-04-22 20:35:58,48.94,C0089,Austria,Clothing,Samuel Rivas,ramirezshannon@example.com
INV000044,ELE5853,Headphones,15,2025-07-13 08:50:58,36.73,C0037,Germany,Electronics,Cynthia Wilson,bethwilliams@example.org
INV000045,ELE5786,Keyboard,45,2025-06-03 05:34:36,94.46,C0006,Spain,Electronics,Monica Herrera,smiller@example.net
INV000046,SPO8690,Running Shoes,31,2024-03-24 08:10:57,44.61,C0002,United Kingdom,Sports,Angie Henderson,davisjesse@example.net
INV000046,ELE7565,Smartphone,32,2024-11-13 04:49:38,8.33,C0062,Netherlands,Electronics,Steven Flynn,donnacampbell@example.net
INV000047,BOO5066,Technical Manual,8,2023-07-13 04:14:25,56.25,C0073,Italy,Books,Alicia Gilmore,wwoods@example.com
INV000048,SPO8381,Helmet,29,2024-12-29 02:19:36,30.44,C0100,Denmark,Sports,John Peterson,kingmichelle@example.org
INV000049,SPO4404,Tennis Racket,41,2024-04-17 09:20:28,21.89,C0008,France,Sports,Dr. Sharon James,xreid@example.org
INV000050,CLO7693,T-Shirt,29,2024-09-17 06:36:18,69.25,C0010,Germany,Clothing,Joel Nelson,gabriellecameron@example.org
INV000051,HOM4824,Lamp,17,2024-02-27 22:04:25,78.99,C0037,Germany,Home & Garden,Cynthia Wilson,bethwilliams@example.org
INV000051,ELE4683,Keyboard,42,2025-02-16 10:57:18,15.75,C0055,Poland,Electronics,Victoria Johnson,yreed@example.com
INV000052,SPO5728,Basketball,29,2025-04-18 19:58:18,13.31,C0040,Austria,Sports,Kristine Garcia,williamanderson@example.com
INV000052,SPO8172,Water Bottle,6,2025-02-06 02:01:12,60.21,C0065,Japan,Sports,Michael Snyder,dylanwatts@example.org
INV000053,ELE1339,Headphones,49,2024-11-11 00:50:00,67.56,C0004,Switzerland,Electronics,Abigail Shaffer,jpeterson@example.org
INV000053,SPO5557,Water Bottle,12,2023-05-05 23:05:22,99.7,C0061,France,Sports,Richard Lawson,steven73@example.net
INV000053,BOO6460,Journal,21,2025-07-18 00:25:22,67.34,C0061,France,Books,Richard Lawson,steven73@example.net
INV000054,HOM1601,Rug,30,2023-03-03 22:07:03,9.72,C0037,Germany,Home & Garden,Cynthia Wilson,bethwilliams@example.org
INV000054,ELE8569,Keyboard,27,2024-11-02 03:11:45,6.37,C0066,Austria,Electronics,Colleen Brock,pwilliams@example.org
INV000055,ELE5375,Headphones,36,2024-05-15 17:01:10,13.97,C0057,Poland,Electronics,Renee Mcdaniel,michaeljones@example.net
INV000056,SPO3594,Dumbbell,20,2025-07-26 20:04:33,55.53,C0004,Switzerland,Sports,Abigail Shaffer,jpeterson@example.org
INV000056,HOM3522,Lamp,32,2024-01-24 22:23:31,93.33,C0015,Canada,Home & Garden,Rebecca Henderson,cruzcaitlin@example.com
INV000057,HOM8483,Plant Pot,36,2023-02-10 04:18:47,15.32,C0062,Netherlands,Home & Garden,Steven Flynn,donnacampbell@example.net
INV000057,ELE7798,Smart Watch,22,2023-05-22 20:54:47,93.49,C0018,Denmark,Electronics,Deborah Mason,williamrodriguez@example.net
INV000058,SPO9022,Basketball,10,2023-12-22 14:55:14,45.21,C0039,EIRE,Sports,Michael Evans,sarah10@example.com
INV000058,HOM4090,Candle,45,2025-06-12 12:58:37,24.64,C0049,France,Home & Garden,Stacey Russell,sarayoung@example.org
INV000059,HOM7325,Mirror,43,2025-07-01 01:31:45,79.45,C0041,France,Home & Garden,Sherry Wood,samueldaniels@example.com
INV000059,SPO6439,Basketball,7,2023-02-02 05:26:47,87.54,C0017,Belgium,Sports,Patricia Peterson,ryan70@example.net
INV000060,CLO3529,Sweater,5,2024-02-23 16:05:57,47.48,C0093,Canada,Clothing,Alan Phillips,tholt@example.net
INV000061,ELE9742,Camera,25,2025-06-14 04:02:41,95.46,C0084,Portugal,Electronics,Michael Burton,terrykevin@example.net
INV000062,ELE2121,Mouse,16,2023-03-04 11:56:43,63.48,C0070,Germany,Electronics,Jeremiah Reeves,josephflores@example.net
INV000062,ELE8269,Smartphone,11,2023-09-30 03:35:01,69.71,C0056,Netherlands,Electronics,William Wilson,jonathanfletcher@example.org
INV000062,BOO8056,Magazine,10,2024-12-31 21:32:31,25.18,C0038,Japan,Books,Kevin Mills,james53@example.com
INV000063,ELE7267,Mouse,40,2025-03-17 04:22:27,68.63,C0023,Netherlands,Electronics,Lisa Brandt,jenniferross@example.net
INV000064,BOO5183,Dictionary,43,2024-11-17 23:30:25,1.93,C0082,Japan,Books,Jacob Obrien,stricklandfrank@example.com
INV000065,ELE6661,Monitor,38,2024-03-08 02:25:43,30.62,C0021,Portugal,Electronics,David Bradley,millertodd@example.org
INV000066,CLO8916,Sweater,7,2023-10-09 22:24:20,24.48,C0039,EIRE,Clothing,Michael Evans,sarah10@example.com
INV000066,ELE5497,Speaker,1,2025-06-28 06:40:12,57.03,C0038,Japan,Electronics,Kevin Mills,james53@example.com
INV000067,HOM4770,Picture Frame,39,2024-11-08 02:58:12,80.39,C0078,Italy,Home & Garden,David Murphy,wmurphy@example.com
INV000068,CLO1645,Jeans,-20,2025-02-02 20:51:59,79.07,C0097,EIRE,Clothing,Paige Carlson,wallkenneth@example.com
INV000069,BOO3877,Journal,13,2023-05-22 17:45:48,14.08,C0038,Japan,Books,Kevin Mills,james53@example.com
INV000070,CLO8894,Shoes,19,2024-12-31 03:15:27,74.91,C0035,Poland,Clothing,Lauren Daniels,brian97@example.net
INV000070,CLO6992,Sweater,-6,2024-06-24 12:55:42,79.28,C0019,Switzerland,Clothing,Mark Lynch,nathanielmartin@example.net
INV000071,BOO7242,Encyclopedia,41,2024-09-26 08:19:13,94.09,C0087,Portugal,Books,Madison Poole,ryangross@example.net
INV000072,BOO4626,Encyclopedia,42,2024-06-01 18:38:15,7.26,C0072,Germany,Books,John Brown,xprice@example.net
INV000073,ELE1742,Tablet,3,2024-05-13 17:55:09,31.13,C0053,Portugal,Electronics,Matthew Ross,michelle45@example.net
INV000073,HOM7078,Clock,43,2023-06-12 11:45:58,94.99,C0018,Denmark,Home & Garden,Deborah Mason,williamrodriguez@example.net
INV000074,CLO2622,Sweater,32,2023-09-07 19:59:06,61.95,C0094,USA,Clothing,Kara Schmidt,jbarajas@example.com
INV000075,HOM4868,Clock,24,2024-05-27 07:58:18,10.84,C0028,Belgium,Home & Garden,Brent Jordan,ujenkins@example.org
INV000075,ELE5520,Speaker,13,2024-10-01 11:14:28,96.85,C0046,Germany,Electronics,Michael Hoffman,jonesnicole@example.org
INV000076,SPO1828,Football,22,2025-02-08 16:25:26,25.11,C0028,Belgium,Sports,Brent Jordan,ujenkins@example.org
INV000077,SPO4538,Dumbbell,15,2024-03-23 17:32:17,33.53,C0098,Spain,Sports,Adrian Ferguson,brandon08@example.com
INV000078,CLO5106,Skirt,12,2024-09-14 01:56:31,11.88,C0019,Switzerland,Clothing,Mark Lynch,nathanielmartin@example.net
INV000079,SPO1258,Bicycle,12,2025-05-04 13:05:17,27.27,C0031,France,Sports,Angela Morton,williamsyvette@example.org
INV000080,HOM6931,Clock,33,2023-02-27 00:10:05,59.77,C0009,Denmark,Home & Garden,Daniel Adams,lynchgeorge@example.net
INV000081,SPO8504,Running Shoes,42,2024-12-07 13:08:20,96.44,C0094,USA,Sports,Kara Schmidt,jbarajas@example.com
INV000082,ELE8267,Monitor,5,2023-05-17 19:06:25,90.03,C0088,Denmark,Electronics,Robert Medina,umarshall@example.net
INV000083,SPO6327,Golf Club,25,2024-05-03 14:02:58,99.47,C0080,USA,Sports,Mrs. Marie Harrington DDS,herringjames@example.org
INV000084,ELE4522,Keyboard,28,2024-01-28 02:06:40,45.7,C0013,Belgium,Electronics,Kimberly Burgess,zhurst@example.com
INV000085,ELE7992,Camera,21,2024-05-17 04:31:13,66.85,C0054,Japan,Electronics,Meghan Anthony,sheila14@example.org
INV000085,ELE2527,Smartphone,28,2023-06-30 01:52:13,10.56,C0009,Denmark,Electronics,Daniel Adams,lynchgeorge@example.net
INV000086,SPO6400,Golf Club,43,2024-09-19 20:44:17,13.1,C0076,France,Sports,Rebecca Ramsey,ncalhoun@example.net
INV000086,ELE6119,Smart Watch,23,2025-03-10 09:32:19,11.26,C0093,Canada,Electronics,Alan Phillips,tholt@example.net
INV000087,BOO7022,Atlas,8,2023-01-02 18:54:53,76.5,C0014,Switzerland,Books,Zachary Hicks,camposmichelle@example.org
INV000087,SPO1430,Basketball,39,2025-04-22 21:21:19,92.98,C0099,Netherlands,Sports,Beth Oneill,agarcia@example.net
INV000088,BOO6751,Magazine,1,2024-12-18 15:43:35,18.96,C0090,Poland,Books,Mary Rogers,lrosales@example.com
INV000089,ELE9691,Smartphone,14,2024-10-03 22:59:10,38.24,C0095,France,Electronics,Jesse Parker,davidlee@example.org
INV000090,SPO2391,Basketball,4,2023-03-26 04:52:29,16.4,C0042,Australia,Sports,Victoria Valdez,contrerasangela@example.net
INV000091,HOM8242,Clock,27,2023-10-19 09:35:02,28.04,C0057,Poland,Home & Garden,Renee Mcdaniel,michaeljones@example.net
INV000092,SPO9633,Water Bottle,43,2025-03-16 08:49:17,31.53,C0037,Germany,Sports,Cynthia Wilson,bethwilliams@example.org
INV000093,BOO3248,Biography,49,2024-07-16 00:06:43,0.0,C0027,Spain,Books,Timothy Duncan,esanchez@example.com
INV000094,CLO6802,Skirt,5,2025-02-13 09:10:11,40.31,C0069,Italy,Clothing,Paul Larsen,katie87@example.net
INV000095,BOO8033,Encyclopedia,37,2024-11-17 16:28:52,41.04,C0010,Germany,Books,Joel Nelson,gabriellecameron@example.org
INV000096,CLO8538,Boots,45,2023-03-22 04:13:35,92.06,C0042,Australia,Clothing,Victoria Valdez,contrerasangela@example.net
INV000097,HOM2288,Rug,26,2023-11-13 05:12:04,87.18,C0076,France,Home & Garden,Rebecca Ramsey,ncalhoun@example.net
INV000097,SPO9693,Tennis Racket,33,2024-02-19 20:34:41,20.2,C0010,Germany,Sports,Joel Nelson,gabriellecameron@example.org
INV000097,CLO2684,Jacket,10,2025-05-03 04:23:32,26.34,C0083,Spain,Clothing,Alexander Collins,tsanders@example.org
INV000097,CLO8601,Shorts,49,2023-07-23 12:31:37,56.81,C0010,Germany,Clothing,Joel Nelson,gabriellecameron@example.org
INV000097,SPO6179,Bicycle,10,2024-03-23 10:30:17,44.54,C0083,Spain,Sports,Alexander Collins,tsanders@example.org
INV000097,ELE9312,Camera,5,2024-11-11 14:09:06,31.73,C0076,France,Electronics,Rebecca Ramsey,ncalhoun@example.net
INV000097,ELE9307,Mouse,25,2025-01-22 23:21:56,46.81,C0010,Germany,Electronics,Joel Nelson,gabriellecameron@example.org
INV000097,SPO6267,Dumbbell,39,2023-07-08 15:05:33,48.09,C0058,Poland,Sports,Lisa Alvarado,cortezkevin@example.com
INV000098,ELE3827,Keyboard,3,2023-02-14 20:19:50,25.53,C0044,Belgium,Electronics,Michelle Harris,william40@example.org
INV000099,BOO5634,Magazine,25,2025-08-03 20:22:51,41.47,C0021,Portugal,Books,David Bradley,millertodd@example.org
INV000099,BOO6401,Technical Manual,7,2024-01-07 17:39:21,56.24,C0083,Spain,Books,Alexander Collins,tsanders@example.org
INV000099,CLO2335,Hat,38,2023-09-04 00:45:57,66.7,C0078,Italy,Clothing,David Murphy,wmurphy@example.com
INV000100,HOM2388,Cushion,20,2024-04-27 17:36:17,56.33,C0085,Spain,Home & Garden,Barbara Riggs,reedross@example.com
INV000101,SPO7937,Tennis Racket,33,2025-05-05 16:46:00,36.82,C0090,Poland,Sports,Mary Rogers,lrosales@example.com
INV000102,HOM4711,Plant Pot,9,2023-01-22 05:49:15,16.34,C0099,Netherlands,Home & Garden,Beth Oneill,agarcia@example.net
INV000103,SPO6517,Football,50,2025-05-07 21:25:29,62.19,C0070,Germany,Sports,Jeremiah Reeves,josephflores@example.net
INV000104,SPO8170,Yoga Mat,3,2024-09-25 18:59:43,41.68,C0089,Austria,Sports,Samuel Rivas,ramirezshannon@example.com
INV000105,HOM9749,Plant Pot,16,2023-05-25 19:05:27,31.64,C0037,Germany,Home & Garden,Cynthia Wilson,bethwilliams@example.org
INV000105,SPO8564,Water Bottle,50,2023-12-16 01:26:51,28.9,C0048,Australia,Sports,Rebecca Valencia,jason31@example.com
INV000105,SPO5096,Yoga Mat,4,2023-06-26 06:08:13,64.48,C0026,Portugal,Sports,Shannon Jones,joshuawashington@example.net
INV000106,ELE2374,Smart Watch,49,2024-12-17 20:01:27,16.87,C0067,Portugal,Electronics,Robert Contreras,stephanie79@example.net
INV000106,CLO6727,Shorts,2,2023-07-02 11:27:19,42.07,C0012,France,Clothing,Jennifer Rocha,ithomas@example.org
INV000107,BOO1461,Biography,21,2023-08-28 04:27:34,93.15,C0011,United Kingdom,Books,Andrew Stewart,carl95@example.org
INV000107,ELE8740,Smart Watch,45,2025-02-13 04:47:07,83.28,C0018,Denmark,Electronics,Deborah Mason,williamrodriguez@example.net
INV000108,ELE4533,Smart Watch,10,2024-03-29 09:23:15,55.33,C0011,United Kingdom,Electronics,Andrew Stewart,carl95@example.org
INV000109,CLO2996,Shoes,4,2025-03-01 12:07:25,24.61,C0037,Germany,Clothing,Cynthia Wilson,bethwilliams@example.org
INV000110,SPO1269,Golf Club,41,2024-02-29 18:01:08,52.02,C0064,Netherlands,Sports,Angel Riggs,gibsonolivia@example.net
INV000111,BOO7825,Biography,12,2024-10-07 10:36:09,66.77,C0079,Belgium,Books,Trevor Fisher,ruizkaitlyn@example.org
INV000112,SPO9316,Golf Club,36,2025-01-19 12:53:16,3.01,C0068,Switzerland,Sports,Jessica Meadows,vmerritt@example.com
INV000113,BOO6850,Fiction Book,5,2025-01-03 13:37:46,35.14,C0048,Australia,Books,Rebecca Valencia,jason31@example.com
INV000113,BOO1726,Cookbook,23,2024-01-14 14:56:48,55.06,C0095,France,Books,Jesse Parker,davidlee@example.org
INV000113,HOM3209,Cushion,5,2024-12-10 14:14:02,71.89,C0060,Portugal,Home & Garden,Stephanie Gilbert,richard04@example.com
INV000114,ELE6080,Camera,33,2025-05-06 08:39:06,40.42,C0026,Portugal,Electronics,Shannon Jones,joshuawashington@example.net
INV000115,CLO6848,Shoes,50,2023-08-13 16:38:36,5.73,C0083,Spain,Clothing,Alexander Collins,tsanders@example.org
INV000115,HOM7334,Clock,22,2024-08-18 21:07:23,97.4,C0056,Netherlands,Home & Garden,William Wilson,jonathanfletcher@example.org
INV000115,BOO7955,Technical Manual,6,2023-10-24 02:28:10,43.63,C0067,Portugal,Books,Robert Contreras,stephanie79@example.net
INV000116,ELE5843,Camera,20,2025-07-20 02:24:59,45.15,C0014,Switzerland,Electronics,Zachary Hicks,camposmichelle@example.org
INV000117,ELE8126,Camera,18,2025-02-28 12:35:37,64.31,C0058,Poland,Electronics,Lisa Alvarado,cortezkevin@example.com
INV000118,BOO3621,Atlas,2,2023-08-01 01:23:59,15.14,C0052,Austria,Books,Courtney Velasquez,ybailey@example.org
INV000119,CLO6933,Hat,-25,2023-04-19 10:42:30,95.0,C0009,Denmark,Clothing,Daniel Adams,lynchgeorge@example.net
INV000120,BOO2259,Dictionary,37,2024-03-05 03:14:58,14.63,C0048,Australia,Books,Rebecca Valencia,jason31@example.com
INV000121,ELE9176,Tablet,34,2024-10-06 14:10:29,39.31,C0015,Canada,Electronics,Rebecca Henderson,cruzcaitlin@example.com
INV000122,CLO5678,Boots,45,2024-06-11 23:28:02,91.73,C0058,Poland,Clothing,Lisa Alvarado,cortezkevin@example.com
INV000122,CLO2438,Shorts,44,2025-02-27 17:49:57,96.79,C0058,Poland,Clothing,Lisa Alvarado,cortezkevin@example.com
INV000122,SPO5914,Running Shoes,11,2024-02-20 00:55:07,71.47,C0071,Switzerland,Sports,Chris Reyes,jasminebrown@example.com
INV000122,CLO4292,Jeans,9,2023-01-04 23:38:23,24.44,C0066,Austria,Clothing,Colleen Brock,pwilliams@example.org
INV000123,SPO2412,Yoga Mat,5,2024-03-15 09:00:05,31.62,C0060,Portugal,Sports,Stephanie Gilbert,richard04@example.com
INV000124,HOM2208,Curtains,9,2024-04-08 18:58:07,97.27,C0099,Netherlands,Home & Garden,Beth Oneill,agarcia@example.net
INV000125,CLO3981,Skirt,50,2025-06-30 18:37:27,96.66,C0045,France,Clothing,Sandra Williams,kellie42@example.net
INV000126,SPO5982,Yoga Mat,11,2025-06-19 21:06:38,17.03,C0016,United Kingdom,Sports,Tricia Valencia,frazierdanny@example.net
INV000126,BOO5105,Technical Manual,13,2025-01-30 15:06:54,63.87,C0067,Portugal,Books,Robert Contreras,stephanie79@example.net
INV000127,ELE3762,Keyboard,38,2023-08-19 20:02:19,94.22,C0069,Italy,Electronics,Paul Larsen,katie87@example.net
INV000127,BOO1674,Encyclopedia,2,2024-11-24 16:29:36,9.04,C0078,Italy,Books,David Murphy,wmurphy@example.com
INV000128,SPO1496,Helmet,32,2025-04-16 15:44:21,89.01,C0027,Spain,Sports,Timothy Duncan,esanchez@example.com
INV000129,HOM8430,Picture Frame,5,2025-01-22 09:33:20,69.17,C0032,Austria,Home & Garden,Tammy Allison,richardolson@example.com
INV000130,SPO6121,Yoga Mat,46,2024-06-20 03:09:11,32.61,C0044,Belgium,Sports,Michelle Harris,william40@example.org
INV000131,BOO2739,Atlas,21,2024-05-31 10:15:35,24.93,C0098,Spain,Books,Adrian Ferguson,brandon08@example.com
INV000132,BOO7850,Journal,16,2025-05-07 08:58:21,96.31,C0007,EIRE,Books,Shannon Ray,williamsjeremy@example.com
INV000132,BOO3610,Biography,32,2025-04-24 04:32:28,99.6,C0093,Canada,Books,Alan Phillips,tholt@example.net
INV000133,HOM8491,Rug,16,2024-08-08 23:24:36,22.3,C0012,France,Home & Garden,Jennifer Rocha,ithomas@example.org
INV000134,HOM9793,Picture Frame,1,2024-12-08 08:28:39,84.87,C0084,Portugal,Home & Garden,Michael Burton,terrykevin@example.net
INV000134,HOM1741,Candle,26,2024-05-14 20:43:44,6.06,C0098,Spain,Home & Garden,Adrian Ferguson,brandon08@example.com
INV000135,SPO5582,Water Bottle,40,2023-10-21 01:28:12,68.36,C0050,Switzerland,Sports,Rita Keith,whitesandra@example.com
INV000136,SPO3363,Bicycle,13,2024-01-06 23:18:57,60.64,C0044,Belgium,Sports,Michelle Harris,william40@example.org
INV000137,BOO9508,Dictionary,30,2025-06-07 06:09:40,15.75,C0092,Spain,Books,Jason Peters,hannahbrewer@example.com
INV000137,CLO5902,Sweater,38,2024-08-17 22:11:17,34.3,C0041,France,Clothing,Sherry Wood,samueldaniels@example.com
INV000137,HOM7035,Vase,22,2023-12-29 19:50:20,67.71,C0039,EIRE,Home & Garden,Michael Evans,sarah10@example.com
INV000137,ELE8775,Mouse,17,2024-09-30 02:48:20,96.74,C0093,Canada,Electronics,Alan Phillips,tholt@example.net
